OBJECTID,Field name,Field region,Reporting unit name,Reporting Unit Type Code,Reporting Unit Type Description,"Onshore,Offshore Flag",Reporting Period Date,Reporting Period in yyyymm format,Reporting Period Month,Reporting Period Month Name,Reporting Period Year,Oil Production Mass (tonnes),Oil Production Volume (m3),Oil Production volume (mb/d),Oil production density (Kg/m3),Dry gas production mass (tonnes),Dry gas production volume (ksm3),Dry Gas Production volume (MMscf/d),Dry Gas Production Density (kg/sm3),Associated gas production mass (tonnes),Associated Gas Production Volume (MMscf/d),Associated Gas Production Volume (ksm3),Associated Gas Production density (kg/sm3),Gas Condensate mass (kg),Gas condensate volume (ksm3),Gas condensate volume (mb/d),Gas condensate density (kg/sm3),Injected water volume (m3),Injected water volume (mb/d),Water production volume (ksm3),Water production volume (mb/d),Operator Organisation Group,x,y
18,AFFLECK,CNS,AFFLECK,P,Oil Field Exporting to Pipeline,Offshore,"1/14/2011, 7:00 PM",201101,01,January,2011,13812.0357,16603,3.36880226,0,,,,,5378.744,6.29746194,5528,0.973,,,,,0,0,435,0.0882629,TOTAL UPSTREAM UK LIMITED,2.732868478000057,56.41579560300005
19,AFFLECK,CNS,AFFLECK,P,Oil Field Exporting to Pipeline,Offshore,"2/14/2011, 7:00 PM",201102,02,Feburary,2011,14515.4126,17459,3.92203964,0,,,,,6929.214,9.12262125,7233,0.958,,,,,0,0,705,0.15837321,TOTAL UPSTREAM UK LIMITED,2.732868478000057,56.41579560300005
20,AFFLECK,CNS,AFFLECK,P,Oil Field Exporting to Pipeline,Offshore,"3/14/2011, 8:00 PM",201103,03,March,2011,11927.9472,14352,2.9120671,0,,,,,5110.196,5.98304452,5252,0.973,,,,,0,0,396,0.08034968,TOTAL UPSTREAM UK LIMITED,2.732868478000057,56.41579560300005
21,AFFLECK,CNS,AFFLECK,P,Oil Field Exporting to Pipeline,Offshore,"4/14/2011, 8:00 PM",201104,04,April,2011,10102.725,12150,2.54745,0,,,,,4422.306,5.2372145,4449,0.994,,,,,0,0,333,0.069819,TOTAL UPSTREAM UK LIMITED,2.732868478000057,56.41579560300005
22,AFFLECK,CNS,AFFLECK,P,Oil Field Exporting to Pipeline,Offshore,"5/14/2011, 8:00 PM",201105,05,May,2011,15848.85,19095,3.8744371,0,,,,,6952.725,8.12358919,7131,0.975,,,,,0,0,777,0.15765581,TOTAL UPSTREAM UK LIMITED,2.732868478000057,56.41579560300005
23,AFFLECK,CNS,AFFLECK,P,Oil Field Exporting to Pipeline,Offshore,"6/14/2011, 8:00 PM",201106,06,June,2011,11331.2129,13657,2.86341767,0,,,,,5685.367,6.75340517,5737,0.991,,,,,0,0,597,0.125171,TOTAL UPSTREAM UK LIMITED,2.732868478000057,56.41579560300005
24,AFFLECK,CNS,AFFLECK,P,Oil Field Exporting to Pipeline,Offshore,"7/14/2011, 8:00 PM",201107,07,July,2011,6360.3684,7641,1.55038355,0,,,,,2944.245,3.37770887,2965,0.993,,,,,0,0,261,0.05295774,TOTAL UPSTREAM UK LIMITED,2.732868478000057,56.41579560300005
25,AFFLECK,CNS,AFFLECK,P,Oil Field Exporting to Pipeline,Offshore,"8/14/2011, 8:00 PM",201108,08,August,2011,9877.1496,11883,2.41109903,0,,,,,4100.77,4.8916971,4294,0.955,,,,,0,0,432,0.08765419,TOTAL UPSTREAM UK LIMITED,2.732868478000057,56.41579560300005
26,AFFLECK,CNS,AFFLECK,P,Oil Field Exporting to Pipeline,Offshore,"9/14/2011, 8:00 PM",201109,09,September,2011,4030.7616,4854,1.017722,0,,,,,1832.379,2.22602217,1891,0.969,,,,,0,0,130,0.02725667,TOTAL UPSTREAM UK LIMITED,2.732868478000057,56.41579560300005
27,AFFLECK,CNS,AFFLECK,P,Oil Field Exporting to Pipeline,Offshore,"10/14/2011, 8:00 PM",201110,10,October,2011,11035.2948,13318,2.70226516,0,,,,,4983.958,5.82925339,5117,0.974,,,,,0,0,552,0.11200258,TOTAL UPSTREAM UK LIMITED,2.732868478000057,56.41579560300005
